topic,ask_code,en,ko,ru,zh,mn,note
vm1,vm634,,들어오다/들어가다,входить,,орох,
vm1,vm066,advance,들어가다,,进去,,
vm1,vm065,"get into, enter",들어오다,,进来,,
vm1,vm064,go,가다,идти,去(去上学的+),"явах, очих",
vm1,vm063,come,오다,приходить,来(他来了的+),ирэх,
vm3,vm062,notice,주의하다,быть внимательным,注意,анхаарах,
vm2,vm061,be careful,조심하다,"быть осторожным, остерегаться (напр. автомобиля)",小心,болгоомжлох,
vm3,vm060,count,합산하다,складывать (напр. суммы),合计,нэмэх,
vm1,vm059,count,세다(數),считать (напр. деньги),数(数钱的+),тоолох,
vm3,vm058,count,계산하다,вычислять,算(算算术的+),тооцох,
vm3,vm057,explain,설명하다,объяснять,说明,тайлбарлах,
vm3,vm056,abuse (v.),욕하다,ругаться,骂(骂人的+),доромжлох,
vm3,vm055,shout loudly,고함치다,громко кричать,喊叫,бархирах,
vm2,vm054,shout,외치다,кричать,喊(喊叫的+),хашгирах,
vm1,vm053,call,부르다,звать,叫(喊叫的+),дуудах,
vm2,vm052,suggest,권하다,предлагать,劝(劝说的+),ятгах,
vm2,vm051,shrug shoulders,으쓱하다(어깨를+),пожимать плечами,耸(耸肩的+),мөрөө хавчих,
vm1,vm050,understand,이해하다,понимать,懂(懂了吗的+),ойлгох,
vm2,vm049,realize,깨닫다,осознавать,领会,ухаарах,
vm1,vm048,don't know,모르다,не знать,不知道,"мэдэхгүй, танихгүй",
vm1,vm047,know,알다,знать,知道,мэдэх/таних,
vm1,vm046,answer,대답하다,отвечать,回答(请回答我的+),хариулах,
vm1,vm045,ask,묻다(問),спрашивать,问(提问的+),асуух,
vm2,vm044,chat,지껄이다,болтать,喋喋(喋喋不休的+),чалчих,
vm1,vm043,talk with/have a conversation,대화하다,разговаривать,对话,ярилцах,
vm1,vm042,talk/chat (v.),이야기하다,рассказывать,谈话,ярих,
vm1,vm041,read,읽다,читать,读(读课文的+),унших,
vm1,vm040,write,쓰다,писать,写(写字的+),бичих,
vm1,vm039,say,말하다,говорить,说(说话的+),хэлэх,
vm1,vm038,learn,배우다,учиться,学(学习的+),сурах,
vm1,vm037,teach,가르치다,преподавать,教(教书的+),заах,
vm2,vm036,consider,여기다,считать (кого-л. хорошим человеком),认为,санах,
vm1,vm035,think,생각하다,думать,想(我想想的+),бодох,
vm1,vm034,show,보여주다,показывать,给看(给我看看的+）,"үзүүлэх, харуулах",
vm3,vm033,look askance at,곁눈질하다,искоса смотреть,瞧见,ширвэх,
vm3,vm032,scout,엿보다,подсматривать,偷看,шагайх,
vm1,vm031,hear,듣다/들리다(hear),слышать,听见,дуулах,
vm1,vm030,see,보다/보이다(see),видеть,看见,үзэх,
vm1,vm029,listen,듣다(listen),слушать,听(听音乐的+),сонсох,
vm1,vm028,look,보다(watch),смотреть,看(看电视的+),харах,
vm1,vm027,hate,미워하다,ненавидеть,恨(我恨你的+),үзэн ядах,
vm1,vm026,love(n),사랑,любовь,爱情,хайр,
vm1,vm025,love(v),사랑하다,любить,爱(我爱你的+),хайрлах,
vm1,vm024,dislike,싫어하다,не нравиться,讨厌,дургүйцэх,
vm1,vm023,like,좋아하다,нравиться,喜欢,дуртай байх,
vm1,vm022,move(vi),움직이다(바위가+),двигаться ,动(石头动了+),хөдлөх,
vm2,vm021,move(vt),움직이다(바위를+),двигать (напр. большой камень),搬动(搬动石头的+),хөдөлгөх,
vm2,vm020,imitate,모방하다/흉내내다,подражать,模仿/仿效,дууриах,
vm2,vm019,wrap,싸다/포장하다,"завертывать, упаковывать",包(包装的+),боох ,
vm3,vm018,make a hand gesture,손짓하다,показывать жестами рук,招手,дохих,
vm2,vm017,guide,안내하다,водить (быть проводником),引导(我引导你们去的+),замчлах,
vm2,vm016,see off,배웅하다,провожать,送行,үдэх,
vm2,vm015,"meet, receive",맞이하다,встречать (напр. гостей),迎接,угтах,
vm2,vm014,demand,요구하다,требовать,要求,шаардах,
vm2,vm013,beg,간청하다,умолять,恳请/恳求,чухалчлан хүсэх,
vm1,vm012,ask for,요청하다/구하다,просить,请求(请求你的+),гуйх,
vm1,vm011,work,일하다,работать,做事,ажиллах,
vm1,vm010,do,하다,делать,做(做事情的+),хийх,
vm1,vm009,,보내다,посылать,送(送给的+),явуулах,
vm2,vm008,accept,받아들이다,принимать,接受,хүлээн авах,
vm1,vm007,"take, get",얻다,достать,得到/获得,олох,
vm1,vm006,receive,받다,получать,收(收到的+),авах,
vm1,vm005,give,주다,давать,给(给礼物的+),өгөх,
vm1,vm004,not exist (v./adj.),없다(여기 엄마가+),Здесь нет мамы.,不在(妈妈不在的+),байхгүй,
vm1,vm003,exist (v./adj.),있다(책상에 책이+),На столе есть книга.,在(书在桌子上的+),байх,
vm1,vm002,dont have,없다(나는 돈이+),У меня нет денег.,没有(我没有钱的+),байхгүй,
vm1,vm001,have,있다(나는 돈이+),У меня есть деньги.,有(我有钱的+),байх,
vn3,vn224,favorite,좋아하는,любимый,喜欢/爱,дуртай,
vn3,vn223,famous,유명하다,известный,有名/出名,"нэртэй, алдартай",
vn3,vn222,doubtful,미심쩍다,сомнительный,怀疑(有值得怀疑的地方的+),эргэлзмээр,
vn3,vn221,suspicious,수상하다,подозрительный,可疑(行为可疑的+),сэжигтэй,
vn3,vn220,"clear, evident",뚜렷하다,ясный (напр. ответ),清楚,тодорхой,
vn3,vn219,"vague, uncertain",모호하다,неясный,模糊(照片模糊的+),тодорхойгүй,
vn3,vn218,familiar,친하다,близкий (напр. друг),亲密,ойр дотно,
vn3,vn217,gloomy,우울하다,грустный,忧郁,уйтгарлах,
vn3,vn216,lonely,외롭다,одинокий,寂寞,ганцаардах,
vn3,vn215,funny,우습다,смешной,可笑,инээдтэй,
vn3,vn214,pleasant,유쾌하다,приятный,愉快/快活,хөгжилтэй ,
vn3,vn212,dazzling,눈부시다,ослепительный,耀眼,нүд гялбах,
vn1,vn211,fresh,싱싱하다,свежий (напр. огурец),新鲜,шинэхэн,
vn3,vn210,infant,어리다,незрелый (напр. поступок),幼小,бага балчир,
vn3,vn209,"cruel, severe",가혹하다,жестокий,苛刻(条件苛刻的+),харгис,
vn3,vn208,"hard, violent",격렬하다/심하다,резкий (напр. ветер),激烈,огцом,
vn3,vn207,excellent,우수하다,отличный,优秀,шилдэг,
vn3,vn206,indifferent,상관없다,безразличный,不在意,хамаагүй,
vn3,vn205,strange,이상하다,странный,奇怪,жигтэй,
vn3,vn204,odd,기묘하다,причудливый,奇妙,хачин сонин,
vn3,vn203,various,각종/다양하다,различный,种种/各种,янз янзын,
vn3,vn202,complex,복잡하다,сложный,复杂,төвөгтэй,
vn3,vn201,simple,간단하다,простой,简单/单纯,хялбар,
vn3,vn200,peaceful,평안하다,спокойный,平安,амар амгалан,
vn3,vn199,comfortable,편안하다,,舒服,амар тайван,
vn3,vn198,convenient,편리하다,удобный,方便,тавтай,
vn3,vn197,separate,각각/따로,отдельный,分别(分别放起来的+),тус тусдаа,
vn1,vn196,"resemble, like",닮다(아버지를+),"похож(а, и) (напр. на отца)",像(他长得像爸爸的+),дуурайх,
vn3,vn195,"nude, bare",벌거숭이의/알몸의,голый,裸体,нүцгэн,
vn3,vn194,"ashamed, shameful",부끄럽다,стыдный,惭愧/羞愧,ичих,
vn3,vn193,sleepy,졸리다,сонный,发困,нойр хүрэх,
vn3,vn192,"fine, tiny",잘다,мелкий (напр. песок),细碎/细,нарийн,
vn3,vn191,fall behind,뒤떨어지다,отсталый,落后,хоцрох,
vn3,vn190,progressive,앞서다,передовой,领先(技术领先的+)/先进,түрүүлэх,
vn3,vn189,active,적극적이다,активный,积极,идэвхтэй,
vn1,vn188,late,늦다(시간이+),поздно,晚(时间很晚了的+),орой,
vn1,vn187,early,이르다(早),ранно,早(来早了的+),эрт,
vn1,vn186,busy,바쁘다,"занят(а, ы)",忙(繁忙的+),завгүй,
vn3,vn185,safe,안전하다,безопасный,安全,аюулгүй,
vn1,vn184,dangerous,위험하다,опасный,危险,аюултай,
vn3,vn183,boring,지루하다,скучный,冗长,уйтгартай,
vn1,vn182,interesting,재미있다,интересный,有意思,сонирхолтой,
vn3,vn181,quiet,조용하다,тихий,安静/静,чимээ аниргүй,
vn3,vn180,noisy,시끄럽다,шумный,嘈杂/吵闹,чимээ шуугиантай,
vn3,vn179,noisy,떠들썩하다,шумный (напр. на базаре) ,热闹,шуугиантай,
vn3,vn178,strict,엄격하다,строгий,严格/严,хатуу чанга,
vn3,vn177,polite,정중하다,вежливый,庄重,буурьтай,
vn3,vn176,"humble, vulgar",비천하다,вульгарный,卑贱,дорд,
vn3,vn175,noble,고상하다,благородный,高贵,яруу тансаг,
vn3,vn174,gentle,점잖다,солидный,斯文,намбалаг,
vn3,vn173,"impatient, quick-tempered",성급하다,нетерпеливый,性急,бачимдуу,
vn3,vn172,unskillful,서투르다,неумелый,不熟练,тааруу,
vn3,vn171,skillful,능숙하다,умелый,熟练,гарамгай,
vn3,vn170,naïve,순진하다,наивный,纯真,гэмгүй,
vn3,vn169,cunning,교활하다,хитрый,狡猾,зальжин,
vn3,vn168,kind,친절하다,любезный,亲切,элэгсэг,
vn3,vn167,broadminded,너그럽다,великодушный,宽容,өршөөнгүй,
vn3,vn166,generous,후하다,щедрый,厚道,өгөөмөөр,
vn3,vn165,"miserly, stingy",인색하다,скупой,小气,харамч,
vn1,vn164,fear,무섭다,страшный,可怕,аймаар,
vn3,vn163,timid,겁이 많다,боязливый,胆小,хулчгар,
vn3,vn162,cowardly,비겁하다,трусливый,卑鄙(卑鄙小人的+),аймхай,
vn3,vn161,"bold, fearless",대담하다,бесстрашный,大胆,цөс ихтэй,
vn1,vn160,brave,용감하다,"смелый, храбрый",勇敢,эр зоригтой,
vn3,vn159,unlucky,운 나쁘다,неудачный,运气不好,аз муутай,
vn1,vn158,unfortunate,불행하다,несчастный,不幸(她生活得很不幸的+),азгүй,
vn3,vn157,lucky,운 좋다,удачный,幸运/运气好,азтай,
vn1,vn156,happy,행복하다,счастливый,幸福(我很幸福的+),аз жаргалтай,
vn1,vn155,"else, other",다른/다른 것,другой,别的,өөр,
vn1,vn154,different,다르다,разный,不同,ондоо,
vn3,vn153,similar,비슷하다,подобный (напр. ответ),差不多,төстэй,
vn1,vn152,same,같다,одинаковый,一样,адил,
vn3,vn151,mistaken,틀리다,неправильный,不对/错,таарахгүй,
vn3,vn150,wrong,맞다,правильный,对(你说的对的+),таарах,
vn1,vn149,wrong,그르다,неверный,不对,буруу,
vn1,vn148,right,옳다,"прав(а, ы), верный",对(考题作对了的+),зөв,
vn3,vn147,firm,확실하다,достоверный,确实,баттай,
vn3,vn146,exact,정확하다,точный,正确,зөв тодорхой,
vn3,vn145,great,위대하다,великий (напр. писатель),伟大,агуу их,
vn3,vn144,glorious,영광스럽다,"славный 
(напр. победа)",光荣,нэр төртэй,
vn1,vn143,rich,부유하다,богатый,富(富有的+),баян,
vn1,vn142,poor,가난하다,бедный,穷(贫穷的+),ядуу,
vn3,vn141,"poor, pitiful",불쌍하다,жалкий,可怜,хөөрхий,
vn1,vn140,sad,슬프다,печальный,悲伤(悲伤的眼泪的+),гунигтай байх,
vn1,vn139,"glad, pleased",기쁘다,радостный,高兴(今天我很高兴的+),баяртай байх,
vn3,vn138,sincere,참되다,верный,实在/老实,үнэнч байх,
vn3,vn213,ticklish,간지럽다,щекотно,发痒,гижигдэх,
vn3,vn137,itchy,가렵다(나는 등이+),чесаться (У меня спина чешется.),痒(瘙痒的+)/刺挠,загатнах,
vn3,vn136,tired,피곤하다,усталый,累(我累了的+),ядрах,
vn3,vn135,stinking,구리다,вонючий,臭(臭味的+),өмхий үнэртэх,
vn3,vn134,concave,오목하다,вогнутый,凹(凹下去的+),хөнхийх,
vn3,vn133,convex,볼록하다,выпуклый,凸(凸出来的+),түнтийх,
vn3,vn132,tight,팽팽하다,натянутый (напр. канат),紧(勒紧的+),чанга,
vn3,vn131,loose,느슨하다,нетугой,松(放松的+),сул,
vn1,vn130,short,작다(키가+),"маленький, невысокий (о росте)",矮(个子矮的+),намхан нуруутай,
vn1,vn129,tall,크다(키가+),высокий (о росте),高(他个子很高的+),өндөр нуруутай,
vn1,vn128,dry,마른,сухой,干(干燥的+),хуурай,
vn1,vn127,moist,젖은,мокрый,湿(潮湿的+),нойтон,
vn1,vn126,dirty,더럽다,грязный,脏(脏衣服的+),бузар,
vn1,vn125,clean,깨끗하다,чистый,干净,цэвэр,
vn2,vn124,ugly,추하다,уродливый,丑(丑陋的+),жигшүүртэй,
vn2,vn123,cute,귀엽다,милый,可爱,хөөрхөн,
vn1,vn122,wonderful,멋지다,прекрасный,帅(他真帅的+),гоё,
vn1,vn121,"pretty, beautiful",예쁘다/아름답다,красивый,漂亮,сайхан,
vn2,vn120,"nice, sympathetic",보기좋다/잘생겼다,симпатичный,好看,царайлаг,
vn2,vn119,"thick, dense",되다(濃)/짙다,густой,浓(浓烟的+),өтгөн,
vn2,vn118,rare,드물다,редкий,稀少,ховор,
vn2,vn117,dense,조밀하다,плотный,稠密,нягт,
vn1,vn116,dark,어둡다,тёмный,暗(阴暗的+),харанхуй,
vn1,vn115,light,밝다,светлый,亮(光亮的+),гэгээтэй,
vn2,vn114,smooth,매끄럽다,гладкий,光滑(皮肤光滑的+),толигор,
vn2,vn113,mild,유연하다,нежный,柔软(布料柔软的+),уян хатан,
vn2,vn112,"gentle, tender",온화하다,мягкий (напр. климат),温和(态度温和+),дөлгөөн,
vn2,vn111,violent,난폭하다,буйный,强暴/粗暴,догшин,
vn2,vn110,rough,거칠다,грубый,粗(表面很粗糙的+),ширүүн,
vn1,vn109,soft,물렁물렁하다/부드럽다,мягкий (напр. хлеб),软(软硬的+),зөөлөн,
vn1,vn108,"hard, solid",단단하다,твёрдый,硬(软硬的+),хатуу,
vn2,vn107,slippy,미끄럽다,скользкий,滑(地很滑的+),хальтиргаатай,
vn2,vn106,slightly sloping,완만하다,пологий,缓(缓坡的+),аажуу,
vn2,vn105,steep,가파르다/험하다,крутой (напр. берег),陡(陡坡的+),огцом,
vn2,vn104,flat,평평하다,ровный,平(平面的+),тэгш,
vn2,vn103,vertical,세로의,вертикальный,竖(竖直的+),гулд,
vn2,vn102,horizontal,가로의,горизонтальный,横(人行横道的+),хөндлөн,
vn1,vn100,truthful,바르다(正),правдивый,正(端正的+),зөв,
vn1,vn099,bend,굽다(曲),согнутый,弯/曲(弯曲的+),бөгтийх,
vn2,vn098,slanting,기울다/비스듬하다,косой,斜(歪斜的+),хэлбийх,
vn2,vn101,corrupted,비뚤다,кривой,歪(歪斜的+),хазайх,
vn1,vn097,straight,곧다,прямой,直(直线的+),шулуун,
vn2,vn096,squared(a),네모지다,квадратный,方(方块的+),дөрвөлжин,
vn2,vn095,round,둥글다,круглый,圆(圆脸的+),дугуй,
vn2,vn094,dull,무디다,тупой,钝(刀钝了的+),мохоо,
vn2,vn093,sharp,날카롭다,острый (напр. нож),锐(锐利的+),хурц,
vn2,vn092,sharp,뾰족하다,острый (напр. копьё),尖(尖下巴的+),шовх,
vn2,vn091,brown,갈색의,коричневый,茶色,хүрэн,
vn2,vn090,gray,회색의,серый,灰色,саарал,
vn2,vn089,light pink,연분홍색의,светло-розовый,桃红色,цайвар ягаан,
vn2,vn088,pink,분홍색의,розовый,粉红色,ягаан,
vn2,vn087,violet,보라색의,фиолетовый,藕荷色,нил ягаан,
vn2,vn086,purple,자주색의,красно-фиолетовый,紫色,улаан ягаан,
vn2,vn085,indigo blue,남색의,тёмно-синий,深蓝色,хар хөх,
vn2,vn084,sky blue,하늘색의,голубой,天蓝色,цэнхэр,
vn1,vn083,green,초록,зелёный,绿色,ногоон,
vn1,vn082,black,검다,чёрный,黑色,хар,
vn1,vn081,white,희다,белый,白色,цагаан,
vn1,vn080,blue,파랗다,синий,蓝(海蓝色的+),хөх,
vn1,vn079,yellow,노랗다,жёлтый,黄,шар,
vn1,vn078,red,붉다/빨갛다,красный,红,улаан,
vn2,vn077,color,색깔,цвет,颜色/色彩,өнгө,
vn2,vn076,special,특별하다,особенный,特别,онцгой,
vn2,vn075,common,보통이다,обычный,普通,жирийн,
vn2,vn074,important,중요하다,важный,重要,чухал,
vn1,vn073,stupid,어리석다,глупый,愚蠢,мунхаг,
vn1,vn072,smart,똑똑하다,умный,聪明/英明,ухаантай,
vn2,vn071,idle/lazy,게으르다,ленивый,懒/懒惰,залхуу,
vn2,vn070,diligent,부지런하다,трудолюбивый,勤快,ажилсаг,
vn2,vn069,"empty, vacant",빈(+집),пустой (напр. дом),空(空房间的+),хоосон,
vn2,vn068,be full of,가득하다,полный (напр. стакан),满(装满的+),дүүрэн,
vn2,vn067,lean,마르다(사람이+),худой (о человеке),瘦(人瘦的+),турах,
vn2,vn066,lean,마르다(동물이+),худой (о животном),瘦(动物瘦的+),эцэх,
vn2,vn065,fat,뚱뚱하다/살찌다,толстый (напр. человек),肥/胖,тарган,
vn1,vn064,weak,약하다,слабый,弱(虚弱的+),дорой,
vn1,vn063,strong,세다(强),сильный,强(强壮的+),хүчтэй,
vn2,vn062,"strong, solid",튼튼하다/견고하다,прочный,结实,бат бөх,
vn1,vn061,healthy,건강하다,здоровый,健康,эрүүл мэнд,
vn2,vn060,beneficial,이롭다,выгодный,好处,ашигтай,
vn1,vn059,cheap,싸다,дёшево,便宜,хямд,
vn1,vn058,expensive,비싸다,дорого,贵(太贵了的+),үнэтэй,
vn1,vn057,narrow,좁다(너비),узкий,窄(宽窄的+),нарийн,
vn1,vn056,wide,넓다(너비),широкий,宽(宽阔的+),өргөн,
vn2,vn055,narrow,좁다(면적),тесный,狭窄,давчуу,
vn2,vn054,wide,넓다(면적),просторный,广阔,өргөн,
vn2,vn053,unsuitable,알맞지 않다,неподходящий,不合适,зохисгүй,
vn2,vn052,suitable,맞다/알맞다/적당하다,подходящий,合适/适合/适宜,зохистой,
vn2,vn051,hard,곤란하다,трудный (напр. положение),困难,хэцүү,
vn1,vn050,difficult,어렵다,трудный (напр. задача),难(这道题很难的+),бэрхтэй,
vn1,vn049,easy,쉽다,лёгкий (напр. задание),容易,амар,
vn2,vn048,bad ,악하다,злой,恶(恶毒的+),муу,
vn2,vn047,nice,착하다,добрый,善(善良的+),сайн,
vn3,vn046,"best, most",가장(+높다),самый высокий,最(最高的+),хамгийн өндөр,
vn3,vn045,higher,더(+높다),более высокий,更(更高的+),илүү өндөр,
vn3,vn044,worst,가장 나쁘다,наихудший,最坏,хамгийн муу,
vn3,vn043,worse,더 나쁘다,хуже,更坏,илүү муу,
vn3,vn042,best,가장 좋다,наилучший,最好,хамгийн сайн,
vn3,vn041,better,더 좋다,лучшe,更好,илүү сайн,
vn3,vn040,not so good,별로 좋지 않다,не очень хороший,不太好,тийм сайн биш,
vn2,vn039,not good,좋지 않다,нехороший,不好,сайн биш,
vn1,vn038,bad ,나쁘다,плохой,坏(坏人的+),муу,
vn1,vn037,good,좋다,хороший,好(好坏的+),сайн,
vn1,vn036,"false, fake",가짜의,фальшивый,假(假面具的+),худал,
vn1,vn035,genuine,진짜의,подлинный,真(真假的+),үнэн,
vn1,vn034,young,젊다,молодой,年轻,залуу,
vn1,vn033,old (sb),늙다,старый (напр. человек),老(老人的+),хөгшин,
vn2,vn032,ancient,옛날의 (것),древний,旧的,хуучин,
vn1,vn031,old (sth),낡다(옷이+),старый (напр. одежда),旧(新旧的+),хуучин,
vn1,vn030,new,새롭다,новый,新(新旧的+),шинэ,
vn2,vn029,cool,시원하다,прохладный,凉快,сэрүүн,
vn2,vn028,warm,따뜻하다,тёплый,暖和,дулаан,
vn2,vn027,dump,눅눅하다/축축하다,"влажный, сырой",潮湿,чийглэг,
vn2,vn026,warm,미지근하다,тепловатый,温(温水的+),бүлээн,
vn1,vn025,cold,차다,холодный (о воде),凉(水凉了的+),хүйтэн,
vn1,vn024,hot,뜨겁다,горячий,烫(热水很烫的+),(буцалгасан ус мэт) халуун,
vn1,vn023,cold (weather),춥다,холодно (о погоде),冷(冷热的+),хүйтэн,
vn1,vn022,hot (weather),덥다,жарко,热(冷热的+),(бүгчим) халуун,
vn2,vn021,slow,느리다(행동이+),медлительный,迟缓(行动迟缓的+),аажуу,
vn1,vn020,slow,느리다(속도가+),медленный,慢(快慢的+),удаан,
vn1,vn019,fast,빠르다,быстрый,快(快慢的+),хурдан,
vn1,vn018,light,가볍다,лёгкий (напр. чемодан) ,轻(轻重的+),хөнгөн,
vn1,vn017,heavy,무겁다,тяжёлый,重(轻重的+),хүнд,
vn1,vn016,"slim, slender",가늘다,тонкий (напр. палка),细(粗细的+),нарийн,
vn1,vn015,"thick, big",굵다,толстый (напр. палка),粗(粗细的+),бүдүүн,
vn1,vn014,thin,얇다,тонкий (напр. журнал),薄(厚薄的+),нимгэн,
vn1,vn013,thick,두껍다,толстый (напр. журнал),厚(厚薄的+),зузаан,
vn1,vn012,shallow (adj.),얕다,мелкий (напр. речка),浅(深浅的+),гүехэн,
vn1,vn011,deep,깊다,глубокий,深(深浅的+),гүн,
vn1,vn010,near,가깝다,близкий,近(远近的+),ойр,
vn1,vn009,distant,멀다,далёкий,远(远近的+),хол,
vn1,vn008,short (adj.),짧다,короткий,短(长短的+),богино,
vn1,vn007,long,길다,длинный,长(长短的+),урт,
vn1,vn006,low,낮다,низкий,低(高低的+),нам,
vn1,vn005,high,높다,высокий,高(高低的+),өндөр,
vn2,vn004,very small,매우 작다,очень маленький,很小,маш бага,
vn1,vn003,"small, little",작다,маленький (о размере),小,бага,
vn2,vn002,very large,매우 크다,очень большой,很大,маш том,
vn1,vn001,large,크다,большой,大,том,
vp2,vp047,"each, every",각각,каждый,各(各自的+),тус тус,
vp1,vp046,another person,남/타인,чужой,别人,бусад хүн,
vp2,vp045,for oneself,자기(+를 위해),для себя,为了自己,өөрөө,
vp2,vp044,Do it that way.,그렇게/저렇게(+하세요),так (Сделайте так.),那样做/那么做,тэгэж,
vp2,vp043,Do it this way.,이렇게(+하세요),как это (Сделайте как это.),这样做/这么做,ингэж,
vp2,vp042,such,이렇다/그렇다,"таков(а, о, ы)",这样/那样,"ийм байна, тийм байна",
vp2,vp041,like that,그러한/저러한,такой,那样的(那样的形状的+),тийм,
vp2,vp040,like this,이러한,"такой, как этот",这样的(这样的形状的+),ийм,
vp2,vp039,certain,어떤/모(某),некий,有一个/某,ямар нэг,
vp1,vp038,"which, what",어느/어떤,какой,哪(哪国人的+),ямар,
vp2,vp037,any one,누구라도,любой человек,任何人,хэн нэг нь,
vp2,vp036,something,무엇인가,что-то,有什么(那儿好像有什么的+),ямар нэг юм,
vp2,vp035,someone,누구인가,кто-то,有人(有人来了的+),хэн нэг хүн,
vp1,vp034,whose,누구의,чей,谁的(这是谁的笔+),хэний,
vp1,vp033,what,무엇,что,什么(这是什么的+),юу,
vp1,vp032,who,누구,кто,谁(你是谁的+),хэн,
vp2,vp031,What did you come here (to do)?,뭐하러(+왔습니까?),Зачем (вы пришли?),来做什么？,юунд,
vp1,vp030,Why did you come here?,왜(+왔습니까?),Почему (вы пришли?),为什么,яагаад,
vp1,vp029,that,그/저(+집),тот (дом),那(那是他家的+),тэр,
vp1,vp028,this,이(+집/+나무/+방),"этот (дом), это (дерево), эта (комната)",这(这是我家的+),энэ,
vp1,vp027,where (direction),어느쪽,куда,哪边,хаашаа,
vp1,vp026,where,어디,где,哪里,хаана,
vp1,vp025,how,어떻게,как,怎么样/怎样,яаж,
vp1,vp024,that,그것/저것,то,那个,тэр,
vp1,vp023,those things,그것들/저것들,те (вещи),那些,тэд,
vp1,vp022,these (ones),이것들,эти (вещи),这些,эд,
vp1,vp021,this,이것,это,这个,энэ,
vp2,vp020,their,그들의 (것),их,他们的,тэдний,
vp1,vp019,they,그녀들,они (женщины),她们(女人的+),,
vp1,vp018,they,그들,они (мужчины),他们(男人的+),,
vp1,vp017,they,그들/그녀들,,他们,тэд,
vp2,vp016,her,그녀의 (것),её,她的(女人的+),,
vp2,vp015,his,그의 (것),его,他的(男人的+),,
vp2,vp014,his,그의/그녀의 (것),,他的,түүний,
vp1,vp013,she,그녀,она,她(女人的+),тэр,
vp1,vp012,he,그,он,他(男人的+),тэр,
vp1,vp011,he,그/그녀,,他,,
vp2,vp010,your (pl.),너희의 (것),ваш,你们的,та нарын,
vp1,vp009,you (pl.),너희,вы (при обращении к нескольким лицам),你们,та нар,
vp2,vp008,your,너의 (것),твой,你的,чиний,
vp1,vp007,you (honorific form),당신,вы (форма вежливости к одному лицу),您,та,
vp1,vp006,you,너,ты,你,чи,
vp1,vp005,we (incl.),우리(청자 포함),мы (включая собеседника),咱们,бид,
vp2,vp004,our,우리의 (것),наш,我们的,манай,
vp1,vp003,we (excl.),우리(청자 미포함),мы (не включая собеседника),我们,бид,
vp2,vp002,my,나의 (것),мой,我的,миний,
vp1,vp001,I,나,я,我,би,
vq3,vq132,??,약(+다섯),около (пяти),约(+五),бараг орчим,
vq3,vq131,about (approximately),대략,примерно,大约,ойролцоогоор,
vq3,vq130,part,부분,часть,部分,хэсэг,
vq3,vq129,total,전체,целое,全体,нийт,
vq3,vq128,"rest, remnant",잉여,остаток,剩余,үлдэгдэл,
vq3,vq127,surplus,여분,избыток,多余,илүү,
vq3,vq135,mongo,뭉그(몽골 화폐 단위),,,мөнгө,
vq3,vq134,Tugrik,투그릭(몽골 화폐 단위),,,төгрөг,
vq3,vq126,"""kopek"" - currency unit",코페이카(러시아 화폐 단위),копейка (денежная единица),,,
vq3,vq125,Ruble,루블(러시아 화폐 단위),рубль (денежная единица),,,
vq3,vq124,"""jeon"" - currency unit",전(화폐 단위),,分(一分钱的+),,
vq3,vq123,"""won"" - currency",원(화폐 단위),,块／元(一块钱的+),,
vq3,vq122,ton,톤,тонна,吨(一吨水的+),тон,
vq3,vq121,meter,미터,метр,公尺/米,метр,
vq3,vq120,??,제샤찌나(러시아 면적 단위),десятина (мера площади),,,
vq3,vq119,"""pyeong"" - unit of area",평(坪),,坪(几坪的房子的+),,
vq3,vq118,"""rot"" - unit of length",로트(러시아 무게 단위),лот (мера веса),,,
vq3,vq117,"""pood"" - unit of length",푸드(러시아 무게 단위),пуд (мера веса),,,
vq3,vq116,"""kwan"" - unit of weigt",관(貫),,贯(一贯钱的+),,
vq3,vq115,"""keun"" - unit of weight",근(斤),,斤(一斤菜的+),,
vq3,vq114,"""garnets"" - ??",가르네츠(러시아 용적 단위),гарнец (мера объёма),,,
vq3,vq113,"""mera"" - ??",메라(러시아 용적 단위),мера (мера объёма),,,
vq3,vq112,"""mal"" - unit of volume",말(斗),,斗(一斗米的+),,
vq3,vq111,"""doe"" - unit of dry, liquid volume",되(升),,升(一升油的+),,
vq3,vq110,"""mu"" - ??",무(畝),,亩(一亩地的+),,
vq3,vq109,"""chang"" - unit of length",장(丈),,丈(一丈远的+),,
vq3,vq108,"""foot"" - unit of length??",발(단위),,庹(一庹远的+),алд,
vq3,vq107,"""arshin"" - unit of length",아르신(러시아 길이 단위),аршин (мера длины),,,
vq3,vq106,"""sazhen"" - unit of measure",사젠(러시아 길이 단위),сажень (мера длины),,,
vq3,vq105,"""cha"" - unit of measure",자,,尺(尺子的+),,
vq3,vq104,"""chi"", ""chon"" - unit of measure",치/촌,,寸(一寸长的+),,
vq3,vq103,span,뼘/장뼘,пядь,拃(一拃宽的+),сөөм,
vq3,vq102,floor,층(건물의+),этаж,层(二层楼的+),давхар,
vq3,vq101,speed,속도,скорость,速度/快慢,хурд,
vq3,vq100,temperature,온도,температура,温度,дулааны хэм,
vq3,vq099,strength,세기/강약,прочность,强度/强弱,хүчний хэмжээ,
vq1,vq098,weight,무게,вес,重量,хүндийн жин,
vq1,vq097,"area, dimensions",넓이,"площадь 
(напр. общая площадь Китая) ",宽度,өргөн,
vq1,vq096,height,높이,высота,高度,өндөр,
